Pinguinart,Insel,NestVoll_2Eier,Schnabellaenge,Schnabelhoehe,Flossenlaenge,Gewicht,Geschlecht,VerhaeltnisIsotope13N_12N,VerhaeltnisIsotope15N_14N
Adelie,Biscoe,True,36.4,17.1,184.0,2850,weiblich,8.62623,-26.1165
Adelie,Biscoe,True,41.6,18.0,192.0,3950,maennlich,8.85562,-26.09294
Adelie,Biscoe,True,35.5,16.2,195.0,3350,weiblich,8.56192,-25.95541
Adelie,Biscoe,True,41.1,19.1,188.0,4100,maennlich,8.71078,-25.81012
Adelie,Torgersen,False,35.9,16.6,190.0,3050,weiblich,8.47781,-26.07821
Adelie,Torgersen,False,41.8,19.4,198.0,4450,maennlich,8.86853,-26.06209
Adelie,Torgersen,True,33.5,19.0,190.0,3600,weiblich,7.88863,-26.63085
Adelie,Torgersen,True,39.7,18.4,190.0,3900,maennlich,9.29808,-25.23453
Adelie,Torgersen,True,39.6,17.2,196.0,3550,weiblich,8.33524,-26.55351
Adelie,Torgersen,True,45.8,18.9,197.0,4150,maennlich,8.18658,-26.45978
Adelie,Torgersen,True,35.5,17.5,190.0,3700,weiblich,8.70642,-26.15003
Adelie,Torgersen,True,42.8,18.5,195.0,4250,maennlich,8.2993,-26.38986
Adelie,Torgersen,True,40.9,16.8,191.0,3700,weiblich,8.47257,-26.02002
Adelie,Torgersen,True,37.2,19.4,184.0,3900,maennlich,8.3554,-26.44787
Adelie,Torgersen,True,36.2,16.1,187.0,3550,weiblich,7.82381,-26.51382
Adelie,Torgersen,True,42.1,19.1,195.0,4000,maennlich,9.05736,-25.81513
Adelie,Torgersen,True,34.6,17.2,189.0,3200,weiblich,7.69778,-26.5387
Adelie,Torgersen,True,42.9,17.6,196.0,4700,maennlich,8.63259,-26.23027
Adelie,Torgersen,True,36.7,18.8,187.0,3800,weiblich,7.88494,-26.24837
Adelie,Torgersen,True,35.1,19.4,193.0,4200,maennlich,8.90002,-26.46254
Adelie,Dream,True,37.3,17.8,191.0,3350,weiblich,8.32718,-26.38396
Adelie,Dream,True,41.3,20.3,194.0,3550,maennlich,9.14863,-26.09635
Adelie,Dream,True,36.3,19.5,190.0,3800,maennlich,8.57087,-26.22227
Adelie,Dream,True,36.9,18.6,189.0,3500,weiblich,8.59147,-26.08165
Adelie,Dream,True,38.3,19.2,189.0,3950,maennlich,9.07826,-26.12417
Adelie,Dream,True,38.9,18.8,190.0,3600,weiblich,8.36936,-26.11199
Adelie,Dream,True,35.7,18.0,202.0,3550,weiblich,8.46531,-26.05621
Adelie,Dream,True,41.1,18.1,205.0,4300,maennlich,8.77018,-25.83352
Adelie,Dream,True,34.0,17.1,185.0,3400,weiblich,8.01485,-26.69543
Adelie,Dream,True,39.6,18.1,186.0,4450,maennlich,8.49915,-26.42406
Adelie,Dream,True,36.2,17.3,187.0,3300,weiblich,8.90723,-26.30037
Adelie,Dream,True,40.8,18.9,208.0,4300,maennlich,8.48204,-26.57941
Adelie,Dream,True,38.1,18.6,190.0,3700,weiblich,8.10277,-26.50086
Adelie,Dream,True,40.3,18.5,196.0,4350,maennlich,8.39459,-26.01152
Adelie,Dream,True,33.1,16.1,178.0,2900,weiblich,9.04218,-26.15775
Adelie,Dream,True,43.2,18.5,192.0,4100,maennlich,8.97025,-26.03679
Adelie,Biscoe,True,35.0,17.9,192.0,3725,weiblich,8.84451,-26.28055
Adelie,Biscoe,True,41.0,20.0,203.0,4725,maennlich,9.01079,-26.38085
Adelie,Biscoe,True,37.7,16.0,183.0,3075,weiblich,9.2151,-26.2253
Adelie,Biscoe,True,37.8,20.0,190.0,4250,maennlich,9.51929,-25.69199
Adelie,Biscoe,True,37.9,18.6,193.0,2925,weiblich,9.02642,-25.86482
Adelie,Biscoe,True,39.7,18.9,184.0,3550,maennlich,8.85699,-25.80208
Adelie,Biscoe,True,38.6,17.2,199.0,3750,weiblich,8.77322,-26.48973
Adelie,Biscoe,True,38.2,20.0,190.0,3900,maennlich,9.59245,-25.70711
Adelie,Biscoe,True,38.1,17.0,181.0,3175,weiblich,9.79532,-25.27385
Adelie,Biscoe,True,43.2,19.0,197.0,4775,maennlich,9.31735,-25.45171
Adelie,Biscoe,True,38.1,16.5,198.0,3825,weiblich,8.43951,-26.57563
Adelie,Biscoe,True,45.6,20.3,191.0,4600,maennlich,8.65466,-26.32909
Adelie,Biscoe,True,39.7,17.7,193.0,3200,weiblich,9.02657,-26.06203
Adelie,Biscoe,True,42.2,19.5,197.0,4275,maennlich,8.80186,-26.41218
Adelie,Biscoe,True,39.6,20.7,191.0,3900,weiblich,8.80967,-26.78958
Adelie,Biscoe,True,42.7,18.3,196.0,4075,maennlich,8.91434,-26.42018
Adelie,Torgersen,True,38.6,17.0,188.0,2900,weiblich,9.18021,-25.77264
Adelie,Torgersen,True,37.3,20.5,199.0,3775,maennlich,9.49645,-26.36678
Adelie,Torgersen,True,35.7,17.0,189.0,3350,weiblich,8.96436,-23.90309
Adelie,Torgersen,True,41.1,18.6,189.0,3325,maennlich,9.32277,-26.09989
Adelie,Torgersen,False,36.2,17.2,187.0,3150,weiblich,9.04296,-26.19444
Adelie,Torgersen,False,37.7,19.8,198.0,3500,maennlich,9.11066,-26.42563
Adelie,Torgersen,True,40.2,17.0,176.0,3450,weiblich,9.30722,-25.61039
Adelie,Torgersen,True,41.4,18.5,202.0,3875,maennlich,9.59462,-25.42621
Adelie,Torgersen,True,35.2,15.9,186.0,3050,weiblich,8.81668,-25.95399
Adelie,Torgersen,True,40.6,19.0,199.0,4000,maennlich,9.22537,-25.60826
Adelie,Torgersen,True,38.8,17.6,191.0,3275,weiblich,8.88098,-25.89741
Adelie,Torgersen,True,41.5,18.3,195.0,4300,maennlich,8.52566,-26.0245
Adelie,Torgersen,True,39.0,17.1,191.0,3050,weiblich,9.19031,-25.73722
Adelie,Torgersen,True,44.1,18.0,210.0,4000,maennlich,9.10702,-26.01363
Adelie,Torgersen,False,38.5,17.9,190.0,3325,weiblich,8.9846,-25.57956
Adelie,Torgersen,False,43.1,19.2,197.0,3500,maennlich,8.86495,-26.1396
Adelie,Dream,True,36.8,18.5,193.0,3500,weiblich,8.98705,-25.57647
Adelie,Dream,True,37.5,18.5,199.0,4475,maennlich,8.56708,-26.49288
Adelie,Dream,True,38.1,17.6,187.0,3425,weiblich,8.717,-25.77951
Adelie,Dream,True,41.1,17.5,190.0,3900,maennlich,8.94365,-26.06943
Adelie,Dream,True,35.6,17.5,191.0,3175,weiblich,8.75984,-25.97696
Adelie,Dream,True,40.2,20.1,200.0,3975,maennlich,8.95998,-26.32601
Adelie,Dream,False,37.0,16.5,185.0,3400,weiblich,8.61651,-26.07021
Adelie,Dream,False,39.7,17.9,193.0,4250,maennlich,9.25769,-25.88798
Adelie,Dream,True,40.2,17.1,193.0,3400,weiblich,9.2881,-25.54976
Adelie,Dream,True,40.6,17.2,187.0,3475,maennlich,9.23408,-26.01549
Adelie,Dream,True,32.1,15.5,188.0,3050,weiblich,8.79787,-26.61075
Adelie,Dream,True,40.7,17.0,190.0,3725,maennlich,9.05674,-25.79529
Adelie,Dream,True,37.3,16.8,192.0,3000,weiblich,9.06829,-25.85203
Adelie,Dream,True,39.0,18.7,185.0,3650,maennlich,9.22033,-26.03442
Adelie,Dream,True,39.2,18.6,190.0,4250,maennlich,9.11006,-25.79549
Adelie,Dream,True,36.6,18.4,184.0,3475,weiblich,8.68744,-25.8306
Adelie,Dream,True,36.0,17.8,195.0,3450,weiblich,8.94332,-25.79189
Adelie,Dream,True,37.8,18.1,193.0,3750,maennlich,8.97533,-26.03495
Adelie,Dream,True,36.0,17.1,187.0,3700,weiblich,8.93465,-26.07081
Adelie,Dream,True,41.5,18.5,201.0,4000,maennlich,8.8964,-26.06967
Chinstrap,Dream,False,46.5,17.9,192.0,3500,weiblich,9.03935,-24.30229
Chinstrap,Dream,False,50.0,19.5,196.0,3900,maennlich,8.92069,-24.23592
Chinstrap,Dream,True,51.3,19.2,193.0,3650,maennlich,9.29078,-24.7557
Chinstrap,Dream,True,45.4,18.7,188.0,3525,weiblich,8.64701,-24.62717
Chinstrap,Dream,True,52.7,19.8,197.0,3725,maennlich,9.00642,-24.61867
Chinstrap,Dream,True,45.2,17.8,198.0,3950,weiblich,8.88942,-24.49433
Chinstrap,Dream,True,46.1,18.2,178.0,3250,weiblich,8.85664,-24.55644
Chinstrap,Dream,True,51.3,18.2,197.0,3750,maennlich,8.63701,-24.84059
Chinstrap,Dream,True,46.0,18.9,195.0,4150,weiblich,8.47173,-24.29229
Chinstrap,Dream,True,51.3,19.9,198.0,3700,maennlich,8.79581,-24.36088
Chinstrap,Dream,True,46.6,17.8,193.0,3800,weiblich,8.95063,-24.59897
Chinstrap,Dream,True,51.7,20.3,194.0,3775,maennlich,8.68747,-24.38751
Chinstrap,Dream,True,47.0,17.3,185.0,3700,weiblich,8.72037,-24.80526
Chinstrap,Dream,True,52.0,18.1,201.0,4050,maennlich,9.0233,-24.38933
Chinstrap,Dream,True,45.9,17.1,190.0,3575,weiblich,9.12277,-24.90024
Chinstrap,Dream,True,50.5,19.6,201.0,4050,maennlich,9.8059,-24.7294
Chinstrap,Dream,False,50.3,20.0,197.0,3300,maennlich,10.02019,-24.54704
Chinstrap,Dream,False,58.0,17.8,181.0,3700,weiblich,9.14382,-24.57994
Chinstrap,Dream,True,46.4,18.6,190.0,3450,weiblich,9.32105,-24.64162
Chinstrap,Dream,True,49.2,18.2,195.0,4400,maennlich,9.27158,-24.64335
Chinstrap,Dream,True,42.4,17.3,181.0,3600,weiblich,9.35138,-24.6879
Chinstrap,Dream,True,48.5,17.5,191.0,3400,maennlich,9.42666,-24.26375
Chinstrap,Dream,False,43.2,16.6,187.0,2900,weiblich,9.35416,-25.01185
Chinstrap,Dream,False,50.6,19.4,193.0,3800,maennlich,9.28153,-24.97134
Chinstrap,Dream,False,46.7,17.9,195.0,3300,weiblich,9.74144,-24.59467
Chinstrap,Dream,False,52.0,19.0,197.0,4150,maennlich,9.36799,-24.47142
Chinstrap,Dream,False,50.5,18.4,200.0,3400,weiblich,8.9399,-23.89017
Chinstrap,Dream,False,49.5,19.0,200.0,3800,maennlich,9.63074,-24.34684
Chinstrap,Dream,True,46.4,17.8,191.0,3700,weiblich,9.37369,-24.52896
Chinstrap,Dream,True,52.8,20.0,205.0,4550,maennlich,9.25177,-24.69638
Chinstrap,Dream,True,40.9,16.6,187.0,3200,weiblich,9.08458,-24.54903
Chinstrap,Dream,True,54.2,20.8,201.0,4300,maennlich,9.49283,-24.59996
Chinstrap,Dream,True,42.5,16.7,187.0,3350,weiblich,9.36668,-24.45195
Chinstrap,Dream,True,51.0,18.8,203.0,4100,maennlich,9.23196,-24.17282
Chinstrap,Dream,True,49.7,18.6,195.0,3600,maennlich,9.75486,-24.31198
Chinstrap,Dream,True,47.5,16.8,199.0,3900,weiblich,9.07825,-25.1455
Chinstrap,Dream,True,47.6,18.3,195.0,3850,weiblich,8.83502,-24.65859
Chinstrap,Dream,True,52.0,20.7,210.0,4800,maennlich,9.43146,-24.6844
Chinstrap,Dream,False,46.9,16.6,192.0,2700,weiblich,9.80589,-24.73735
Chinstrap,Dream,False,53.5,19.9,205.0,4500,maennlich,10.02544,-24.90816
Chinstrap,Dream,True,49.0,19.5,210.0,3950,maennlich,9.53262,-24.66867
Chinstrap,Dream,True,46.2,17.5,187.0,3650,weiblich,9.61734,-24.66188
Chinstrap,Dream,True,50.9,19.1,196.0,3550,maennlich,10.02372,-24.86594
Chinstrap,Dream,True,45.5,17.0,196.0,3500,weiblich,9.36493,-24.66259
Chinstrap,Dream,True,50.9,17.9,196.0,3675,weiblich,9.43684,-24.16566
Chinstrap,Dream,True,50.8,18.5,201.0,4450,maennlich,9.45827,-24.35575
Chinstrap,Dream,True,50.1,17.9,190.0,3400,weiblich,9.46819,-24.45721
Chinstrap,Dream,True,49.0,19.6,212.0,4300,maennlich,9.34089,-24.45189
Chinstrap,Dream,True,51.5,18.7,187.0,3250,maennlich,9.6895,-24.43062
Chinstrap,Dream,True,49.8,17.3,198.0,3675,weiblich,9.32169,-24.41562
Chinstrap,Dream,True,48.1,16.4,199.0,3325,weiblich,9.46929,-24.48403
Chinstrap,Dream,True,51.4,19.0,201.0,3950,maennlich,9.43782,-24.36202
Chinstrap,Dream,True,45.7,17.3,193.0,3600,weiblich,9.415,-24.805
Chinstrap,Dream,True,50.7,19.7,203.0,4050,maennlich,9.93727,-24.59066
Chinstrap,Dream,True,42.5,17.3,187.0,3350,weiblich,9.56534,-24.60882
Chinstrap,Dream,True,52.2,18.8,197.0,3450,maennlich,9.77528,-24.56481
Chinstrap,Dream,True,45.2,16.6,191.0,3250,weiblich,9.62357,-24.78984
Chinstrap,Dream,True,49.3,19.9,203.0,4050,maennlich,9.88809,-24.59513
Chinstrap,Dream,True,50.2,18.8,202.0,3800,maennlich,9.74492,-24.404
Chinstrap,Dream,True,45.6,19.4,194.0,3525,weiblich,9.46985,-24.65786
Chinstrap,Dream,True,46.8,16.5,189.0,3650,weiblich,9.65061,-24.48153
Chinstrap,Dream,True,45.7,17.0,195.0,3650,weiblich,9.26715,-24.31912
Chinstrap,Dream,True,55.8,19.8,207.0,4000,maennlich,9.70465,-24.53494
Chinstrap,Dream,False,43.5,18.1,202.0,3400,weiblich,9.37608,-24.40753
Chinstrap,Dream,False,49.6,18.2,193.0,3775,maennlich,9.4618,-24.70615
Chinstrap,Dream,True,50.8,19.0,210.0,4100,maennlich,9.98044,-24.68741
Chinstrap,Dream,True,50.2,18.7,198.0,3775,weiblich,9.39305,-24.25255
Gentoo,Biscoe,True,46.1,13.2,211.0,4500,weiblich,7.993,-25.5139
Gentoo,Biscoe,True,50.0,16.3,230.0,5700,maennlich,8.14756,-25.39369
Gentoo,Biscoe,True,48.7,14.1,210.0,4450,weiblich,8.14705,-25.46172
Gentoo,Biscoe,True,50.0,15.2,218.0,5700,maennlich,8.2554,-25.40075
Gentoo,Biscoe,True,47.6,14.5,215.0,5400,maennlich,8.2345,-25.54456
Gentoo,Biscoe,True,46.5,13.5,210.0,4550,weiblich,7.9953,-25.32829
Gentoo,Biscoe,True,45.4,14.6,211.0,4800,weiblich,8.24515,-25.46782
Gentoo,Biscoe,True,46.7,15.3,219.0,5200,maennlich,8.22673,-25.4276
Gentoo,Biscoe,True,43.3,13.4,209.0,4400,weiblich,8.13643,-25.32176
Gentoo,Biscoe,True,46.8,15.4,215.0,5150,maennlich,8.1631,-25.38017
Gentoo,Biscoe,False,40.9,13.7,214.0,4650,weiblich,8.19579,-25.3933
Gentoo,Biscoe,False,49.0,16.1,216.0,5550,maennlich,8.10417,-25.50562
Gentoo,Biscoe,True,45.5,13.7,214.0,4650,weiblich,7.77672,-25.4168
Gentoo,Biscoe,True,48.4,14.6,213.0,5850,maennlich,7.8208,-25.48025
Gentoo,Biscoe,True,45.8,14.6,210.0,4200,weiblich,7.79958,-25.62618
Gentoo,Biscoe,True,49.3,15.7,217.0,5850,maennlich,8.07137,-25.52473
Gentoo,Biscoe,True,42.0,13.5,210.0,4150,weiblich,7.63884,-25.52627
Gentoo,Biscoe,True,49.2,15.2,221.0,6300,maennlich,8.27376,-25.00169
Gentoo,Biscoe,True,46.2,14.5,209.0,4800,weiblich,7.84057,-25.37899
Gentoo,Biscoe,True,48.7,15.1,222.0,5350,maennlich,7.96491,-25.39587
Gentoo,Biscoe,True,50.2,14.3,218.0,5700,maennlich,7.8962,-25.37746
Gentoo,Biscoe,True,45.1,14.5,215.0,5000,weiblich,7.6322,-25.46569
Gentoo,Biscoe,True,46.5,14.5,213.0,4400,weiblich,7.90436,-25.3947
Gentoo,Biscoe,True,46.3,15.8,215.0,5050,maennlich,7.90971,-25.38157
Gentoo,Biscoe,True,42.9,13.1,215.0,5000,weiblich,7.68528,-25.39181
Gentoo,Biscoe,True,46.1,15.1,215.0,5100,maennlich,7.83733,-25.42826
Gentoo,Biscoe,True,47.8,15.0,215.0,5650,maennlich,7.92358,-25.48383
Gentoo,Biscoe,True,48.2,14.3,210.0,4600,weiblich,7.6887,-25.50811
Gentoo,Biscoe,True,50.0,15.3,220.0,5550,maennlich,8.30515,-25.19017
Gentoo,Biscoe,True,42.8,14.2,209.0,4700,weiblich,7.63452,-25.46327
Gentoo,Biscoe,True,45.1,14.5,207.0,5050,weiblich,7.97408,-25.53768
Gentoo,Biscoe,True,59.6,17.0,230.0,6050,maennlich,7.76843,-25.6821
Gentoo,Biscoe,True,49.1,14.8,220.0,5150,weiblich,7.89744,-26.63405
Gentoo,Biscoe,True,48.4,16.3,220.0,5400,maennlich,8.03659,-26.86127
Gentoo,Biscoe,True,42.6,13.7,213.0,4950,weiblich,7.96935,-26.70968
Gentoo,Biscoe,True,44.4,17.3,219.0,5250,maennlich,8.13746,-26.79093
Gentoo,Biscoe,True,44.0,13.6,208.0,4350,weiblich,8.01979,-26.68311
Gentoo,Biscoe,True,48.7,15.7,208.0,5350,maennlich,8.14776,-26.84506
Gentoo,Biscoe,False,42.7,13.7,208.0,3950,weiblich,8.14567,-26.59467
Gentoo,Biscoe,False,49.6,16.0,225.0,5700,maennlich,8.38324,-26.84272
Gentoo,Biscoe,True,45.3,13.7,210.0,4300,weiblich,8.37615,-26.72791
Gentoo,Biscoe,True,49.6,15.0,216.0,4750,maennlich,8.26548,-26.7699
Gentoo,Biscoe,True,50.5,15.9,222.0,5550,maennlich,8.46894,-26.60436
Gentoo,Biscoe,True,43.6,13.9,217.0,4900,weiblich,8.27141,-26.7765
Gentoo,Biscoe,False,45.5,13.9,210.0,4200,weiblich,8.47829,-26.61788
Gentoo,Biscoe,False,50.5,15.9,225.0,5400,maennlich,8.65803,-26.57585
Gentoo,Biscoe,True,44.9,13.3,213.0,5100,weiblich,8.45167,-26.89644
Gentoo,Biscoe,True,45.2,15.8,215.0,5300,maennlich,8.55868,-26.67799
Gentoo,Biscoe,True,46.6,14.2,210.0,4850,weiblich,8.38289,-26.86352
Gentoo,Biscoe,True,48.5,14.1,220.0,5300,maennlich,8.39867,-26.79358
Gentoo,Biscoe,True,45.1,14.4,210.0,4400,weiblich,8.51951,-27.01854
Gentoo,Biscoe,True,50.1,15.0,225.0,5000,maennlich,8.50153,-26.61414
Gentoo,Biscoe,True,46.5,14.4,217.0,4900,weiblich,8.48789,-26.83006
Gentoo,Biscoe,True,45.0,15.4,220.0,5050,maennlich,8.63488,-26.75621
Gentoo,Biscoe,True,43.8,13.9,208.0,4300,weiblich,8.58319,-26.84415
Gentoo,Biscoe,True,45.5,15.0,220.0,5000,maennlich,8.63604,-26.7489
Gentoo,Biscoe,True,43.2,14.5,208.0,4450,weiblich,8.48367,-26.86485
Gentoo,Biscoe,True,50.4,15.3,224.0,5550,maennlich,8.74647,-26.79846
Gentoo,Biscoe,True,45.3,13.8,208.0,4200,weiblich,8.65015,-26.79053
Gentoo,Biscoe,True,46.2,14.9,221.0,5300,maennlich,8.60092,-26.84374
Gentoo,Biscoe,True,45.7,13.9,214.0,4400,weiblich,8.6287,-26.60484
Gentoo,Biscoe,True,54.3,15.7,231.0,5650,maennlich,8.49662,-26.84166
Gentoo,Biscoe,True,45.8,14.2,219.0,4700,weiblich,8.60447,-26.61601
Gentoo,Biscoe,True,49.8,16.8,230.0,5700,maennlich,8.47067,-26.69166
Gentoo,Biscoe,True,49.5,16.2,229.0,5800,maennlich,8.49854,-26.74809
Gentoo,Biscoe,True,43.5,14.2,220.0,4700,weiblich,8.64931,-26.68867
Gentoo,Biscoe,True,50.7,15.0,223.0,5550,maennlich,8.63551,-26.74249
Gentoo,Biscoe,True,47.7,15.0,216.0,4750,weiblich,8.53018,-26.72751
Gentoo,Biscoe,True,46.4,15.6,221.0,5000,maennlich,8.35078,-26.70783
Gentoo,Biscoe,True,48.2,15.6,221.0,5100,maennlich,8.24651,-26.66958
Gentoo,Biscoe,True,46.5,14.8,217.0,5200,weiblich,8.58487,-26.5929
Gentoo,Biscoe,True,46.4,15.0,216.0,4700,weiblich,8.47938,-26.9547
Gentoo,Biscoe,True,48.6,16.0,230.0,5800,maennlich,8.5964,-26.71199
Gentoo,Biscoe,True,47.5,14.2,209.0,4600,weiblich,8.39299,-26.78733
Gentoo,Biscoe,True,51.1,16.3,220.0,6000,maennlich,8.40327,-26.76821
Gentoo,Biscoe,True,45.2,13.8,215.0,4750,weiblich,8.24694,-26.65359
Gentoo,Biscoe,True,45.2,16.4,223.0,5950,maennlich,8.19749,-26.65931
Gentoo,Biscoe,True,49.1,14.5,212.0,4625,weiblich,8.35802,-26.2766
Gentoo,Biscoe,True,52.5,15.6,221.0,5450,maennlich,8.28601,-26.27573
Gentoo,Biscoe,True,47.4,14.6,212.0,4725,weiblich,8.19101,-26.24369
Gentoo,Biscoe,True,50.0,15.9,224.0,5350,maennlich,8.20042,-26.39677
Gentoo,Biscoe,True,44.9,13.8,212.0,4750,weiblich,8.11238,-26.20372
Gentoo,Biscoe,True,50.8,17.3,228.0,5600,maennlich,8.27428,-26.30019
Gentoo,Biscoe,True,43.4,14.4,218.0,4600,weiblich,8.23468,-26.18599
Gentoo,Biscoe,True,51.3,14.2,218.0,5300,maennlich,8.15426,-26.3433
Gentoo,Biscoe,True,47.5,14.0,212.0,4875,weiblich,8.12691,-26.23613
Gentoo,Biscoe,True,52.1,17.0,230.0,5550,maennlich,8.27595,-26.11657
Gentoo,Biscoe,True,47.5,15.0,218.0,4950,weiblich,8.29671,-26.08547
Gentoo,Biscoe,True,52.2,17.1,228.0,5400,maennlich,8.36701,-25.89834
Gentoo,Biscoe,True,45.5,14.5,212.0,4750,weiblich,8.15566,-26.22848
Gentoo,Biscoe,True,49.5,16.1,224.0,5650,maennlich,8.83352,-25.69195
Gentoo,Biscoe,True,44.5,14.7,214.0,4850,weiblich,8.20106,-26.16524
Gentoo,Biscoe,True,50.8,15.7,226.0,5200,maennlich,8.27102,-26.11244
Gentoo,Biscoe,True,49.4,15.8,216.0,4925,maennlich,8.03624,-26.06594
Gentoo,Biscoe,True,46.9,14.6,222.0,4875,weiblich,7.8881,-26.04726
Gentoo,Biscoe,True,48.4,14.4,203.0,4625,weiblich,8.16582,-26.13971
Gentoo,Biscoe,True,51.1,16.5,225.0,5250,maennlich,8.2066,-26.36863
Gentoo,Biscoe,True,48.5,15.0,219.0,4850,weiblich,8.10231,-26.18763
Gentoo,Biscoe,True,55.9,17.0,228.0,5600,maennlich,8.3118,-26.35425
Gentoo,Biscoe,True,47.2,15.5,215.0,4975,weiblich,8.30817,-26.21651
Gentoo,Biscoe,True,49.1,15.0,228.0,5500,maennlich,8.65914,-25.79203
Gentoo,Biscoe,True,46.8,16.1,215.0,5500,maennlich,8.32359,-26.05756
Gentoo,Biscoe,True,41.7,14.7,210.0,4700,weiblich,8.12311,-26.44815
Gentoo,Biscoe,True,53.4,15.8,219.0,5500,maennlich,8.41017,-26.33867
Gentoo,Biscoe,True,43.3,14.0,208.0,4575,weiblich,8.4207,-26.38092
Gentoo,Biscoe,True,48.1,15.1,209.0,5500,maennlich,8.45738,-26.22664
Gentoo,Biscoe,True,50.5,15.2,216.0,5000,weiblich,8.24691,-26.18466
